welcome to bug territory, enjoy your stay new
Player 1 : Player 2 : Total     85 : 32 : 117        moving average 500:   17.0% (max - stddev = 15.00%), std-dev of this is ~2%
Player 1 : Player 2 : Total     85 : 33 : 118        moving average 500:   17.0% (max - stddev = 15.00%), std-dev of this is ~2%
Player 1 : Player 2 : Total     86 : 33 : 119        moving average 500:   17.2% (max - stddev = 15.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     87 : 33 : 120        moving average 500:   17.4% (max - stddev = 15.40%), std-dev of this is ~2%
Player 1 : Player 2 : Total     88 : 33 : 121        moving average 500:   17.6% (max - stddev = 15.60%), std-dev of this is ~2%
Player 1 : Player 2 : Total     89 : 33 : 122        moving average 500:   17.8% (max - stddev = 15.80%), std-dev of this is ~2%
Player 1 : Player 2 : Total     90 : 33 : 123        moving average 500:   18.0% (max - stddev = 16.00%), std-dev of this is ~2%
Player 1 : Player 2 : Total     91 : 33 : 124        moving average 500:   18.2% (max - stddev = 16.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     92 : 33 : 125        moving average 500:   18.4% (max - stddev = 16.40%), std-dev of this is ~2%
Player 1 : Player 2 : Total     92 : 34 : 126        moving average 500:   18.4% (max - stddev = 16.40%), std-dev of this is ~2%
Player 1 : Player 2 : Total     92 : 35 : 127        moving average 500:   18.4% (max - stddev = 16.40%), std-dev of this is ~2%
Player 1 : Player 2 : Total     93 : 35 : 128        moving average 500:   18.6% (max - stddev = 16.60%), std-dev of this is ~2%
Player 1 : Player 2 : Total     94 : 35 : 129        moving average 500:   18.8% (max - stddev = 16.80%), std-dev of this is ~2%
Player 1 : Player 2 : Total     95 : 35 : 130        moving average 500:   19.0% (max - stddev = 17.00%), std-dev of this is ~2%
Player 1 : Player 2 : Total     95 : 36 : 131        moving average 500:   19.0% (max - stddev = 17.00%), std-dev of this is ~2%
Player 1 : Player 2 : Total     96 : 36 : 132        moving average 500:   19.2% (max - stddev = 17.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     97 : 36 : 133        moving average 500:   19.4% (max - stddev = 17.40%), std-dev of this is ~2%
Player 1 : Player 2 : Total     98 : 36 : 134        moving average 500:   19.6% (max - stddev = 17.60%), std-dev of this is ~2%
Player 1 : Player 2 : Total     98 : 37 : 135        moving average 500:   19.6% (max - stddev = 17.60%), std-dev of this is ~2%
Player 1 : Player 2 : Total     99 : 37 : 136        moving average 500:   19.8% (max - stddev = 17.80%), std-dev of this is ~2%
Player 1 : Player 2 : Total     100 : 37 : 137        moving average 500:   20.0% (max - stddev = 18.00%), std-dev of this is ~2%
Player 1 : Player 2 : Total     101 : 37 : 138        moving average 500:   20.2% (max - stddev = 18.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     101 : 38 : 139        moving average 500:   20.2% (max - stddev = 18.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     102 : 38 : 140        moving average 500:   20.4% (max - stddev = 18.40%), std-dev of this is ~2%
Player 1 : Player 2 : Total     103 : 38 : 141        moving average 500:   20.6% (max - stddev = 18.60%), std-dev of this is ~2%
Player 1 : Player 2 : Total     103 : 39 : 142        moving average 500:   20.6% (max - stddev = 18.60%), std-dev of this is ~2%
Player 1 : Player 2 : Total     104 : 39 : 143        moving average 500:   20.8% (max - stddev = 18.80%), std-dev of this is ~2%
Player 1 : Player 2 : Total     105 : 39 : 144        moving average 500:   21.0% (max - stddev = 19.00%), std-dev of this is ~2%
Player 1 : Player 2 : Total     106 : 39 : 145        moving average 500:   21.2% (max - stddev = 19.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     107 : 39 : 146        moving average 500:   21.4% (max - stddev = 19.40%), std-dev of this is ~2%
Player 1 : Player 2 : Total     108 : 39 : 147        moving average 500:   21.6% (max - stddev = 19.60%), std-dev of this is ~2%
Player 1 : Player 2 : Total     109 : 39 : 148        moving average 500:   21.8% (max - stddev = 19.80%), std-dev of this is ~2%
Player 1 : Player 2 : Total     110 : 39 : 149        moving average 500:   22.0% (max - stddev = 20.00%), std-dev of this is ~2%
Player 1 : Player 2 : Total     111 : 39 : 150        moving average 500:   22.2% (max - stddev = 20.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     111 : 40 : 151        moving average 500:   22.2% (max - stddev = 20.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     112 : 40 : 152        moving average 500:   22.4% (max - stddev = 20.40%), std-dev of this is ~2%
Player 1 : Player 2 : Total     113 : 40 : 153        moving average 500:   22.6% (max - stddev = 20.60%), std-dev of this is ~2%
Player 1 : Player 2 : Total     113 : 41 : 154        moving average 500:   22.6% (max - stddev = 20.60%), std-dev of this is ~2%
Player 1 : Player 2 : Total     114 : 41 : 155        moving average 500:   22.8% (max - stddev = 20.80%), std-dev of this is ~2%
Player 1 : Player 2 : Total     115 : 41 : 156        moving average 500:   23.0% (max - stddev = 21.00%), std-dev of this is ~2%
Player 1 : Player 2 : Total     116 : 41 : 157        moving average 500:   23.2% (max - stddev = 21.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     117 : 41 : 158        moving average 500:   23.4% (max - stddev = 21.40%), std-dev of this is ~2%
Player 1 : Player 2 : Total     117 : 42 : 159        moving average 500:   23.4% (max - stddev = 21.40%), std-dev of this is ~2%
Player 1 : Player 2 : Total     118 : 42 : 160        moving average 500:   23.6% (max - stddev = 21.60%), std-dev of this is ~2%
Player 1 : Player 2 : Total     118 : 43 : 161        moving average 500:   23.6% (max - stddev = 21.60%), std-dev of this is ~2%
Player 1 : Player 2 : Total     119 : 43 : 162        moving average 500:   23.8% (max - stddev = 21.80%), std-dev of this is ~2%
Player 1 : Player 2 : Total     120 : 43 : 163        moving average 500:   24.0% (max - stddev = 22.00%), std-dev of this is ~2%
Player 1 : Player 2 : Total     121 : 43 : 164        moving average 500:   24.2% (max - stddev = 22.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     122 : 43 : 165        moving average 500:   24.4% (max - stddev = 22.40%), std-dev of this is ~2%
Player 1 : Player 2 : Total     123 : 43 : 166        moving average 500:   24.6% (max - stddev = 22.60%), std-dev of this is ~2%
Player 1 : Player 2 : Total     124 : 43 : 167        moving average 500:   24.8% (max - stddev = 22.80%), std-dev of this is ~2%
Player 1 : Player 2 : Total     125 : 43 : 168        moving average 500:   25.0% (max - stddev = 23.00%), std-dev of this is ~2%
Player 1 : Player 2 : Total     126 : 43 : 169        moving average 500:   25.2% (max - stddev = 23.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     127 : 43 : 170        moving average 500:   25.4% (max - stddev = 23.40%), std-dev of this is ~2%
Player 1 : Player 2 : Total     127 : 44 : 171        moving average 500:   25.4% (max - stddev = 23.40%), std-dev of this is ~2%
Player 1 : Player 2 : Total     127 : 45 : 172        moving average 500:   25.4% (max - stddev = 23.40%), std-dev of this is ~2%
Player 1 : Player 2 : Total     128 : 45 : 173        moving average 500:   25.6% (max - stddev = 23.60%), std-dev of this is ~2%
Player 1 : Player 2 : Total     129 : 45 : 174        moving average 500:   25.8% (max - stddev = 23.80%), std-dev of this is ~2%
Player 1 : Player 2 : Total     130 : 45 : 175        moving average 500:   26.0% (max - stddev = 24.00%), std-dev of this is ~2%
Player 1 : Player 2 : Total     131 : 45 : 176        moving average 500:   26.2% (max - stddev = 24.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     132 : 45 : 177        moving average 500:   26.4% (max - stddev = 24.40%), std-dev of this is ~2%
Player 1 : Player 2 : Total     133 : 45 : 178        moving average 500:   26.6% (max - stddev = 24.60%), std-dev of this is ~2%
