welcome to bug territory, enjoy your stay new
Player 1 : Player 2 : Total     143 : 315 : 458        moving average 500:   28.6% (max - stddev = 26.60%), std-dev of this is ~2%
Player 1 : Player 2 : Total     144 : 315 : 459        moving average 500:   28.8% (max - stddev = 26.80%), std-dev of this is ~2%
Player 1 : Player 2 : Total     145 : 315 : 460        moving average 500:   29.0% (max - stddev = 27.00%), std-dev of this is ~2%
Player 1 : Player 2 : Total     145 : 316 : 461        moving average 500:   29.0% (max - stddev = 27.00%), std-dev of this is ~2%
Player 1 : Player 2 : Total     146 : 316 : 462        moving average 500:   29.2% (max - stddev = 27.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     147 : 316 : 463        moving average 500:   29.4% (max - stddev = 27.40%), std-dev of this is ~2%
Player 1 : Player 2 : Total     147 : 317 : 464        moving average 500:   29.4% (max - stddev = 27.40%), std-dev of this is ~2%
Player 1 : Player 2 : Total     147 : 318 : 465        moving average 500:   29.4% (max - stddev = 27.40%), std-dev of this is ~2%
Player 1 : Player 2 : Total     147 : 319 : 466        moving average 500:   29.4% (max - stddev = 27.40%), std-dev of this is ~2%
Player 1 : Player 2 : Total     148 : 319 : 467        moving average 500:   29.6% (max - stddev = 27.60%), std-dev of this is ~2%
Player 1 : Player 2 : Total     148 : 320 : 468        moving average 500:   29.6% (max - stddev = 27.60%), std-dev of this is ~2%
Player 1 : Player 2 : Total     148 : 321 : 469        moving average 500:   29.6% (max - stddev = 27.60%), std-dev of this is ~2%
Player 1 : Player 2 : Total     148 : 322 : 470        moving average 500:   29.6% (max - stddev = 27.60%), std-dev of this is ~2%
Player 1 : Player 2 : Total     148 : 323 : 471        moving average 500:   29.6% (max - stddev = 27.60%), std-dev of this is ~2%
Player 1 : Player 2 : Total     149 : 323 : 472        moving average 500:   29.8% (max - stddev = 27.80%), std-dev of this is ~2%
Player 1 : Player 2 : Total     149 : 324 : 473        moving average 500:   29.8% (max - stddev = 27.80%), std-dev of this is ~2%
Player 1 : Player 2 : Total     150 : 324 : 474        moving average 500:   30.0% (max - stddev = 28.00%), std-dev of this is ~2%
Player 1 : Player 2 : Total     151 : 324 : 475        moving average 500:   30.2% (max - stddev = 28.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     151 : 325 : 476        moving average 500:   30.2% (max - stddev = 28.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     152 : 325 : 477        moving average 500:   30.4% (max - stddev = 28.40%), std-dev of this is ~2%
Player 1 : Player 2 : Total     152 : 326 : 478        moving average 500:   30.4% (max - stddev = 28.40%), std-dev of this is ~2%
Player 1 : Player 2 : Total     153 : 326 : 479        moving average 500:   30.6% (max - stddev = 28.60%), std-dev of this is ~2%
Player 1 : Player 2 : Total     153 : 327 : 480        moving average 500:   30.6% (max - stddev = 28.60%), std-dev of this is ~2%
Player 1 : Player 2 : Total     153 : 328 : 481        moving average 500:   30.6% (max - stddev = 28.60%), std-dev of this is ~2%
Player 1 : Player 2 : Total     153 : 329 : 482        moving average 500:   30.6% (max - stddev = 28.60%), std-dev of this is ~2%
Player 1 : Player 2 : Total     153 : 330 : 483        moving average 500:   30.6% (max - stddev = 28.60%), std-dev of this is ~2%
Player 1 : Player 2 : Total     153 : 331 : 484        moving average 500:   30.6% (max - stddev = 28.60%), std-dev of this is ~2%
Player 1 : Player 2 : Total     153 : 332 : 485        moving average 500:   30.6% (max - stddev = 28.60%), std-dev of this is ~2%
Player 1 : Player 2 : Total     153 : 333 : 486        moving average 500:   30.6% (max - stddev = 28.60%), std-dev of this is ~2%
Player 1 : Player 2 : Total     153 : 334 : 487        moving average 500:   30.6% (max - stddev = 28.60%), std-dev of this is ~2%
Player 1 : Player 2 : Total     153 : 335 : 488        moving average 500:   30.6% (max - stddev = 28.60%), std-dev of this is ~2%
Player 1 : Player 2 : Total     153 : 336 : 489        moving average 500:   30.6% (max - stddev = 28.60%), std-dev of this is ~2%
Player 1 : Player 2 : Total     153 : 337 : 490        moving average 500:   30.6% (max - stddev = 28.60%), std-dev of this is ~2%
Player 1 : Player 2 : Total     153 : 338 : 491        moving average 500:   30.6% (max - stddev = 28.60%), std-dev of this is ~2%
Player 1 : Player 2 : Total     153 : 339 : 492        moving average 500:   30.6% (max - stddev = 28.60%), std-dev of this is ~2%
Player 1 : Player 2 : Total     153 : 340 : 493        moving average 500:   30.6% (max - stddev = 28.60%), std-dev of this is ~2%
Player 1 : Player 2 : Total     153 : 341 : 494        moving average 500:   30.6% (max - stddev = 28.60%), std-dev of this is ~2%
Player 1 : Player 2 : Total     153 : 342 : 495        moving average 500:   30.6% (max - stddev = 28.60%), std-dev of this is ~2%
Player 1 : Player 2 : Total     153 : 343 : 496        moving average 500:   30.6% (max - stddev = 28.60%), std-dev of this is ~2%
Player 1 : Player 2 : Total     153 : 344 : 497        moving average 500:   30.6% (max - stddev = 28.60%), std-dev of this is ~2%
Player 1 : Player 2 : Total     154 : 344 : 498        moving average 500:   30.8% (max - stddev = 28.80%), std-dev of this is ~2%
Player 1 : Player 2 : Total     154 : 345 : 499        moving average 500:   30.8% (max - stddev = 28.80%), std-dev of this is ~2%
Player 1 : Player 2 : Total     154 : 346 : 500        moving average 500:   30.8% (max - stddev = 28.80%), std-dev of this is ~2%
Player 1 : Player 2 : Total     155 : 346 : 501        moving average 500:   31.0% (max - stddev = 29.00%), std-dev of this is ~2%
Player 1 : Player 2 : Total     156 : 346 : 502        moving average 500:   31.2% (max - stddev = 29.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     156 : 347 : 503        moving average 500:   31.0% (max - stddev = 29.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     156 : 348 : 504        moving average 500:   31.0% (max - stddev = 29.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     157 : 348 : 505        moving average 500:   31.0% (max - stddev = 29.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     157 : 349 : 506        moving average 500:   30.8% (max - stddev = 29.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     157 : 350 : 507        moving average 500:   30.6% (max - stddev = 29.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     157 : 351 : 508        moving average 500:   30.4% (max - stddev = 29.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     158 : 351 : 509        moving average 500:   30.4% (max - stddev = 29.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     158 : 352 : 510        moving average 500:   30.2% (max - stddev = 29.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     159 : 352 : 511        moving average 500:   30.2% (max - stddev = 29.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     159 : 353 : 512        moving average 500:   30.0% (max - stddev = 29.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     159 : 354 : 513        moving average 500:   29.8% (max - stddev = 29.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     159 : 355 : 514        moving average 500:   29.6% (max - stddev = 29.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     159 : 356 : 515        moving average 500:   29.4% (max - stddev = 29.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     159 : 357 : 516        moving average 500:   29.2% (max - stddev = 29.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     159 : 358 : 517        moving average 500:   29.2% (max - stddev = 29.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     160 : 358 : 518        moving average 500:   29.2% (max - stddev = 29.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     160 : 359 : 519        moving average 500:   29.0% (max - stddev = 29.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     160 : 360 : 520        moving average 500:   29.0% (max - stddev = 29.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     160 : 361 : 521        moving average 500:   29.0% (max - stddev = 29.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     161 : 361 : 522        moving average 500:   29.0% (max - stddev = 29.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     161 : 362 : 523        moving average 500:   28.8% (max - stddev = 29.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     161 : 363 : 524        moving average 500:   28.6% (max - stddev = 29.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     161 : 364 : 525        moving average 500:   28.6% (max - stddev = 29.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     162 : 364 : 526        moving average 500:   28.8% (max - stddev = 29.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     162 : 365 : 527        moving average 500:   28.6% (max - stddev = 29.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     163 : 365 : 528        moving average 500:   28.8% (max - stddev = 29.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     164 : 365 : 529        moving average 500:   29.0% (max - stddev = 29.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     164 : 366 : 530        moving average 500:   28.8% (max - stddev = 29.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     164 : 367 : 531        moving average 500:   28.6% (max - stddev = 29.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     164 : 368 : 532        moving average 500:   28.4% (max - stddev = 29.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     164 : 369 : 533        moving average 500:   28.2% (max - stddev = 29.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     165 : 369 : 534        moving average 500:   28.4% (max - stddev = 29.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     165 : 370 : 535        moving average 500:   28.2% (max - stddev = 29.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     166 : 370 : 536        moving average 500:   28.2% (max - stddev = 29.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     166 : 371 : 537        moving average 500:   28.2% (max - stddev = 29.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     166 : 372 : 538        moving average 500:   28.0% (max - stddev = 29.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     167 : 372 : 539        moving average 500:   28.0% (max - stddev = 29.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     168 : 372 : 540        moving average 500:   28.0% (max - stddev = 29.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     168 : 373 : 541        moving average 500:   28.0% (max - stddev = 29.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     168 : 374 : 542        moving average 500:   27.8% (max - stddev = 29.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     168 : 375 : 543        moving average 500:   27.6% (max - stddev = 29.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     168 : 376 : 544        moving average 500:   27.6% (max - stddev = 29.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     168 : 377 : 545        moving average 500:   27.4% (max - stddev = 29.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     168 : 378 : 546        moving average 500:   27.2% (max - stddev = 29.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     168 : 379 : 547        moving average 500:   27.2% (max - stddev = 29.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     168 : 380 : 548        moving average 500:   27.0% (max - stddev = 29.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     169 : 380 : 549        moving average 500:   27.0% (max - stddev = 29.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     170 : 380 : 550        moving average 500:   27.2% (max - stddev = 29.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     171 : 380 : 551        moving average 500:   27.4% (max - stddev = 29.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     172 : 380 : 552        moving average 500:   27.6% (max - stddev = 29.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     172 : 381 : 553        moving average 500:   27.6% (max - stddev = 29.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     173 : 381 : 554        moving average 500:   27.8% (max - stddev = 29.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     173 : 382 : 555        moving average 500:   27.6% (max - stddev = 29.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     173 : 383 : 556        moving average 500:   27.6% (max - stddev = 29.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     174 : 383 : 557        moving average 500:   27.8% (max - stddev = 29.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     174 : 384 : 558        moving average 500:   27.6% (max - stddev = 29.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     174 : 385 : 559        moving average 500:   27.6% (max - stddev = 29.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     174 : 386 : 560        moving average 500:   27.4% (max - stddev = 29.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     174 : 387 : 561        moving average 500:   27.2% (max - stddev = 29.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     174 : 388 : 562        moving average 500:   27.0% (max - stddev = 29.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     174 : 389 : 563        moving average 500:   26.8% (max - stddev = 29.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     174 : 390 : 564        moving average 500:   26.6% (max - stddev = 29.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     174 : 391 : 565        moving average 500:   26.6% (max - stddev = 29.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     175 : 391 : 566        moving average 500:   26.8% (max - stddev = 29.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     176 : 391 : 567        moving average 500:   26.8% (max - stddev = 29.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     176 : 392 : 568        moving average 500:   26.8% (max - stddev = 29.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     177 : 392 : 569        moving average 500:   27.0% (max - stddev = 29.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     177 : 393 : 570        moving average 500:   26.8% (max - stddev = 29.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     177 : 394 : 571        moving average 500:   26.8% (max - stddev = 29.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     178 : 394 : 572        moving average 500:   27.0% (max - stddev = 29.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     178 : 395 : 573        moving average 500:   27.0% (max - stddev = 29.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     179 : 395 : 574        moving average 500:   27.0% (max - stddev = 29.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     179 : 396 : 575        moving average 500:   26.8% (max - stddev = 29.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     179 : 397 : 576        moving average 500:   26.8% (max - stddev = 29.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     179 : 398 : 577        moving average 500:   26.8% (max - stddev = 29.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     180 : 398 : 578        moving average 500:   27.0% (max - stddev = 29.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     180 : 399 : 579        moving average 500:   26.8% (max - stddev = 29.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     180 : 400 : 580        moving average 500:   26.8% (max - stddev = 29.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     180 : 401 : 581        moving average 500:   26.8% (max - stddev = 29.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     180 : 402 : 582        moving average 500:   26.8% (max - stddev = 29.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     180 : 403 : 583        moving average 500:   26.8% (max - stddev = 29.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     180 : 404 : 584        moving average 500:   26.8% (max - stddev = 29.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     180 : 405 : 585        moving average 500:   26.8% (max - stddev = 29.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     181 : 405 : 586        moving average 500:   27.0% (max - stddev = 29.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     182 : 405 : 587        moving average 500:   27.2% (max - stddev = 29.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     182 : 406 : 588        moving average 500:   27.2% (max - stddev = 29.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     183 : 406 : 589        moving average 500:   27.4% (max - stddev = 29.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     183 : 407 : 590        moving average 500:   27.4% (max - stddev = 29.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     183 : 408 : 591        moving average 500:   27.4% (max - stddev = 29.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     184 : 408 : 592        moving average 500:   27.6% (max - stddev = 29.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     184 : 409 : 593        moving average 500:   27.6% (max - stddev = 29.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     184 : 410 : 594        moving average 500:   27.6% (max - stddev = 29.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     184 : 411 : 595        moving average 500:   27.6% (max - stddev = 29.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     184 : 412 : 596        moving average 500:   27.4% (max - stddev = 29.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     185 : 412 : 597        moving average 500:   27.6% (max - stddev = 29.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     185 : 413 : 598        moving average 500:   27.4% (max - stddev = 29.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     185 : 414 : 599        moving average 500:   27.2% (max - stddev = 29.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     186 : 414 : 600        moving average 500:   27.2% (max - stddev = 29.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     186 : 415 : 601        moving average 500:   27.2% (max - stddev = 29.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     187 : 415 : 602        moving average 500:   27.4% (max - stddev = 29.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     188 : 415 : 603        moving average 500:   27.6% (max - stddev = 29.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     188 : 416 : 604        moving average 500:   27.6% (max - stddev = 29.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     188 : 417 : 605        moving average 500:   27.4% (max - stddev = 29.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     189 : 417 : 606        moving average 500:   27.4% (max - stddev = 29.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     189 : 418 : 607        moving average 500:   27.2% (max - stddev = 29.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     190 : 418 : 608        moving average 500:   27.4% (max - stddev = 29.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     190 : 419 : 609        moving average 500:   27.2% (max - stddev = 29.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     190 : 420 : 610        moving average 500:   27.0% (max - stddev = 29.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     190 : 421 : 611        moving average 500:   27.0% (max - stddev = 29.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     190 : 422 : 612        moving average 500:   26.8% (max - stddev = 29.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     191 : 422 : 613        moving average 500:   27.0% (max - stddev = 29.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     191 : 423 : 614        moving average 500:   27.0% (max - stddev = 29.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     191 : 424 : 615        moving average 500:   27.0% (max - stddev = 29.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     191 : 425 : 616        moving average 500:   27.0% (max - stddev = 29.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     192 : 425 : 617        moving average 500:   27.2% (max - stddev = 29.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     192 : 426 : 618        moving average 500:   27.2% (max - stddev = 29.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     193 : 426 : 619        moving average 500:   27.2% (max - stddev = 29.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     194 : 426 : 620        moving average 500:   27.4% (max - stddev = 29.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     194 : 427 : 621        moving average 500:   27.4% (max - stddev = 29.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     194 : 428 : 622        moving average 500:   27.4% (max - stddev = 29.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     194 : 429 : 623        moving average 500:   27.2% (max - stddev = 29.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     195 : 429 : 624        moving average 500:   27.4% (max - stddev = 29.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     195 : 430 : 625        moving average 500:   27.2% (max - stddev = 29.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     195 : 431 : 626        moving average 500:   27.2% (max - stddev = 29.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     195 : 432 : 627        moving average 500:   27.2% (max - stddev = 29.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     195 : 433 : 628        moving average 500:   27.2% (max - stddev = 29.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     195 : 434 : 629        moving average 500:   27.2% (max - stddev = 29.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     195 : 435 : 630        moving average 500:   27.2% (max - stddev = 29.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     195 : 436 : 631        moving average 500:   27.0% (max - stddev = 29.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     195 : 437 : 632        moving average 500:   27.0% (max - stddev = 29.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     196 : 437 : 633        moving average 500:   27.2% (max - stddev = 29.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     196 : 438 : 634        moving average 500:   27.2% (max - stddev = 29.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     197 : 438 : 635        moving average 500:   27.4% (max - stddev = 29.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     197 : 439 : 636        moving average 500:   27.4% (max - stddev = 29.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     198 : 439 : 637        moving average 500:   27.4% (max - stddev = 29.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     198 : 440 : 638        moving average 500:   27.4% (max - stddev = 29.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     199 : 440 : 639        moving average 500:   27.4% (max - stddev = 29.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     199 : 441 : 640        moving average 500:   27.4% (max - stddev = 29.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     199 : 442 : 641        moving average 500:   27.2% (max - stddev = 29.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     200 : 442 : 642        moving average 500:   27.2% (max - stddev = 29.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     200 : 443 : 643        moving average 500:   27.2% (max - stddev = 29.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     200 : 444 : 644        moving average 500:   27.2% (max - stddev = 29.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     200 : 445 : 645        moving average 500:   27.2% (max - stddev = 29.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     200 : 446 : 646        moving average 500:   27.2% (max - stddev = 29.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     200 : 447 : 647        moving average 500:   27.0% (max - stddev = 29.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     201 : 447 : 648        moving average 500:   27.2% (max - stddev = 29.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     202 : 447 : 649        moving average 500:   27.4% (max - stddev = 29.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     202 : 448 : 650        moving average 500:   27.4% (max - stddev = 29.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     203 : 448 : 651        moving average 500:   27.6% (max - stddev = 29.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     203 : 449 : 652        moving average 500:   27.6% (max - stddev = 29.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     204 : 449 : 653        moving average 500:   27.8% (max - stddev = 29.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     204 : 450 : 654        moving average 500:   27.8% (max - stddev = 29.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     205 : 450 : 655        moving average 500:   27.8% (max - stddev = 29.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     205 : 451 : 656        moving average 500:   27.8% (max - stddev = 29.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     205 : 452 : 657        moving average 500:   27.8% (max - stddev = 29.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     205 : 453 : 658        moving average 500:   27.8% (max - stddev = 29.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     205 : 454 : 659        moving average 500:   27.8% (max - stddev = 29.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     205 : 455 : 660        moving average 500:   27.8% (max - stddev = 29.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     206 : 455 : 661        moving average 500:   28.0% (max - stddev = 29.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     206 : 456 : 662        moving average 500:   28.0% (max - stddev = 29.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     207 : 456 : 663        moving average 500:   28.2% (max - stddev = 29.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     207 : 457 : 664        moving average 500:   28.0% (max - stddev = 29.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     208 : 457 : 665        moving average 500:   28.2% (max - stddev = 29.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     209 : 457 : 666        moving average 500:   28.4% (max - stddev = 29.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     209 : 458 : 667        moving average 500:   28.4% (max - stddev = 29.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     210 : 458 : 668        moving average 500:   28.6% (max - stddev = 29.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     210 : 459 : 669        moving average 500:   28.6% (max - stddev = 29.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     210 : 460 : 670        moving average 500:   28.6% (max - stddev = 29.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     211 : 460 : 671        moving average 500:   28.8% (max - stddev = 29.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     211 : 461 : 672        moving average 500:   28.6% (max - stddev = 29.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     211 : 462 : 673        moving average 500:   28.6% (max - stddev = 29.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     212 : 462 : 674        moving average 500:   28.8% (max - stddev = 29.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     213 : 462 : 675        moving average 500:   29.0% (max - stddev = 29.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     213 : 463 : 676        moving average 500:   29.0% (max - stddev = 29.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     213 : 464 : 677        moving average 500:   28.8% (max - stddev = 29.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     214 : 464 : 678        moving average 500:   29.0% (max - stddev = 29.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     215 : 464 : 679        moving average 500:   29.2% (max - stddev = 29.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     215 : 465 : 680        moving average 500:   29.2% (max - stddev = 29.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     215 : 466 : 681        moving average 500:   29.2% (max - stddev = 29.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     215 : 467 : 682        moving average 500:   29.2% (max - stddev = 29.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     215 : 468 : 683        moving average 500:   29.2% (max - stddev = 29.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     216 : 468 : 684        moving average 500:   29.4% (max - stddev = 29.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     216 : 469 : 685        moving average 500:   29.4% (max - stddev = 29.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     217 : 469 : 686        moving average 500:   29.4% (max - stddev = 29.20%), std-dev of this is ~2%
