Loading: ./pub_stomper_repository/nn_pg_2_model.pt and ./pub_stomper_repository/nn_pg_2_optim.pt
Loading...
Loading: ./pub_stomper_repository/nn_pg_2_valuefunction.pt and ./pub_stomper_repository/nn_pg_2_valueoptim.pt
torch.Size([1, 200])
torch.Size([1])
Player 1 : Player 2 : Total     95 : 1 : 96        moving average 500:   19.0% (max - stddev = 17.00%), std-dev of this is ~2%
Player 1 : Player 2 : Total     96 : 1 : 97        moving average 500:   19.2% (max - stddev = 17.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     97 : 1 : 98        moving average 500:   19.4% (max - stddev = 17.40%), std-dev of this is ~2%
Player 1 : Player 2 : Total     98 : 1 : 99        moving average 500:   19.6% (max - stddev = 17.60%), std-dev of this is ~2%
Player 1 : Player 2 : Total     99 : 1 : 100        moving average 500:   19.8% (max - stddev = 17.80%), std-dev of this is ~2%
Player 1 : Player 2 : Total     100 : 1 : 101        moving average 500:   20.0% (max - stddev = 18.00%), std-dev of this is ~2%
Player 1 : Player 2 : Total     101 : 1 : 102        moving average 500:   20.2% (max - stddev = 18.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     102 : 1 : 103        moving average 500:   20.4% (max - stddev = 18.40%), std-dev of this is ~2%
Player 1 : Player 2 : Total     103 : 1 : 104        moving average 500:   20.6% (max - stddev = 18.60%), std-dev of this is ~2%
Player 1 : Player 2 : Total     104 : 1 : 105        moving average 500:   20.8% (max - stddev = 18.80%), std-dev of this is ~2%
Player 1 : Player 2 : Total     105 : 1 : 106        moving average 500:   21.0% (max - stddev = 19.00%), std-dev of this is ~2%
Player 1 : Player 2 : Total     106 : 1 : 107        moving average 500:   21.2% (max - stddev = 19.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     107 : 1 : 108        moving average 500:   21.4% (max - stddev = 19.40%), std-dev of this is ~2%
Player 1 : Player 2 : Total     108 : 1 : 109        moving average 500:   21.6% (max - stddev = 19.60%), std-dev of this is ~2%
Player 1 : Player 2 : Total     109 : 1 : 110        moving average 500:   21.8% (max - stddev = 19.80%), std-dev of this is ~2%
Player 1 : Player 2 : Total     110 : 1 : 111        moving average 500:   22.0% (max - stddev = 20.00%), std-dev of this is ~2%
Player 1 : Player 2 : Total     111 : 1 : 112        moving average 500:   22.2% (max - stddev = 20.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     112 : 1 : 113        moving average 500:   22.4% (max - stddev = 20.40%), std-dev of this is ~2%
Player 1 : Player 2 : Total     113 : 1 : 114        moving average 500:   22.6% (max - stddev = 20.60%), std-dev of this is ~2%
Player 1 : Player 2 : Total     114 : 1 : 115        moving average 500:   22.8% (max - stddev = 20.80%), std-dev of this is ~2%
Player 1 : Player 2 : Total     115 : 1 : 116        moving average 500:   23.0% (max - stddev = 21.00%), std-dev of this is ~2%
Player 1 : Player 2 : Total     116 : 1 : 117        moving average 500:   23.2% (max - stddev = 21.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     117 : 1 : 118        moving average 500:   23.4% (max - stddev = 21.40%), std-dev of this is ~2%
Player 1 : Player 2 : Total     118 : 1 : 119        moving average 500:   23.6% (max - stddev = 21.60%), std-dev of this is ~2%
Player 1 : Player 2 : Total     119 : 1 : 120        moving average 500:   23.8% (max - stddev = 21.80%), std-dev of this is ~2%
Player 1 : Player 2 : Total     120 : 1 : 121        moving average 500:   24.0% (max - stddev = 22.00%), std-dev of this is ~2%
Player 1 : Player 2 : Total     121 : 1 : 122        moving average 500:   24.2% (max - stddev = 22.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     122 : 1 : 123        moving average 500:   24.4% (max - stddev = 22.40%), std-dev of this is ~2%
Player 1 : Player 2 : Total     123 : 1 : 124        moving average 500:   24.6% (max - stddev = 22.60%), std-dev of this is ~2%
Player 1 : Player 2 : Total     124 : 1 : 125        moving average 500:   24.8% (max - stddev = 22.80%), std-dev of this is ~2%
Player 1 : Player 2 : Total     125 : 1 : 126        moving average 500:   25.0% (max - stddev = 23.00%), std-dev of this is ~2%
Player 1 : Player 2 : Total     126 : 1 : 127        moving average 500:   25.2% (max - stddev = 23.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     127 : 1 : 128        moving average 500:   25.4% (max - stddev = 23.40%), std-dev of this is ~2%
Player 1 : Player 2 : Total     128 : 1 : 129        moving average 500:   25.6% (max - stddev = 23.60%), std-dev of this is ~2%
Player 1 : Player 2 : Total     129 : 1 : 130        moving average 500:   25.8% (max - stddev = 23.80%), std-dev of this is ~2%
Player 1 : Player 2 : Total     130 : 1 : 131        moving average 500:   26.0% (max - stddev = 24.00%), std-dev of this is ~2%
Player 1 : Player 2 : Total     131 : 1 : 132        moving average 500:   26.2% (max - stddev = 24.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     132 : 1 : 133        moving average 500:   26.4% (max - stddev = 24.40%), std-dev of this is ~2%
Player 1 : Player 2 : Total     133 : 1 : 134        moving average 500:   26.6% (max - stddev = 24.60%), std-dev of this is ~2%
Player 1 : Player 2 : Total     134 : 1 : 135        moving average 500:   26.8% (max - stddev = 24.80%), std-dev of this is ~2%
Player 1 : Player 2 : Total     135 : 1 : 136        moving average 500:   27.0% (max - stddev = 25.00%), std-dev of this is ~2%
Player 1 : Player 2 : Total     136 : 1 : 137        moving average 500:   27.2% (max - stddev = 25.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     137 : 1 : 138        moving average 500:   27.4% (max - stddev = 25.40%), std-dev of this is ~2%
Player 1 : Player 2 : Total     138 : 1 : 139        moving average 500:   27.6% (max - stddev = 25.60%), std-dev of this is ~2%
Player 1 : Player 2 : Total     139 : 1 : 140        moving average 500:   27.8% (max - stddev = 25.80%), std-dev of this is ~2%
Player 1 : Player 2 : Total     140 : 1 : 141        moving average 500:   28.0% (max - stddev = 26.00%), std-dev of this is ~2%
Player 1 : Player 2 : Total     141 : 1 : 142        moving average 500:   28.2% (max - stddev = 26.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     142 : 1 : 143        moving average 500:   28.4% (max - stddev = 26.40%), std-dev of this is ~2%
Player 1 : Player 2 : Total     143 : 1 : 144        moving average 500:   28.6% (max - stddev = 26.60%), std-dev of this is ~2%
Player 1 : Player 2 : Total     144 : 1 : 145        moving average 500:   28.8% (max - stddev = 26.80%), std-dev of this is ~2%
Player 1 : Player 2 : Total     145 : 1 : 146        moving average 500:   29.0% (max - stddev = 27.00%), std-dev of this is ~2%
Player 1 : Player 2 : Total     146 : 1 : 147        moving average 500:   29.2% (max - stddev = 27.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     147 : 1 : 148        moving average 500:   29.4% (max - stddev = 27.40%), std-dev of this is ~2%
Player 1 : Player 2 : Total     148 : 1 : 149        moving average 500:   29.6% (max - stddev = 27.60%), std-dev of this is ~2%
Player 1 : Player 2 : Total     149 : 1 : 150        moving average 500:   29.8% (max - stddev = 27.80%), std-dev of this is ~2%
Player 1 : Player 2 : Total     150 : 1 : 151        moving average 500:   30.0% (max - stddev = 28.00%), std-dev of this is ~2%
Player 1 : Player 2 : Total     151 : 1 : 152        moving average 500:   30.2% (max - stddev = 28.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     152 : 1 : 153        moving average 500:   30.4% (max - stddev = 28.40%), std-dev of this is ~2%
Player 1 : Player 2 : Total     153 : 1 : 154        moving average 500:   30.6% (max - stddev = 28.60%), std-dev of this is ~2%
Player 1 : Player 2 : Total     154 : 1 : 155        moving average 500:   30.8% (max - stddev = 28.80%), std-dev of this is ~2%
Player 1 : Player 2 : Total     155 : 1 : 156        moving average 500:   31.0% (max - stddev = 29.00%), std-dev of this is ~2%
Player 1 : Player 2 : Total     156 : 1 : 157        moving average 500:   31.2% (max - stddev = 29.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     157 : 1 : 158        moving average 500:   31.4% (max - stddev = 29.40%), std-dev of this is ~2%
Player 1 : Player 2 : Total     158 : 1 : 159        moving average 500:   31.6% (max - stddev = 29.60%), std-dev of this is ~2%
Player 1 : Player 2 : Total     159 : 1 : 160        moving average 500:   31.8% (max - stddev = 29.80%), std-dev of this is ~2%
Player 1 : Player 2 : Total     160 : 1 : 161        moving average 500:   32.0% (max - stddev = 30.00%), std-dev of this is ~2%
Player 1 : Player 2 : Total     161 : 1 : 162        moving average 500:   32.2% (max - stddev = 30.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     162 : 1 : 163        moving average 500:   32.4% (max - stddev = 30.40%), std-dev of this is ~2%
Player 1 : Player 2 : Total     163 : 1 : 164        moving average 500:   32.6% (max - stddev = 30.60%), std-dev of this is ~2%
Player 1 : Player 2 : Total     164 : 1 : 165        moving average 500:   32.8% (max - stddev = 30.80%), std-dev of this is ~2%
Player 1 : Player 2 : Total     165 : 1 : 166        moving average 500:   33.0% (max - stddev = 31.00%), std-dev of this is ~2%
Player 1 : Player 2 : Total     166 : 1 : 167        moving average 500:   33.2% (max - stddev = 31.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     167 : 1 : 168        moving average 500:   33.4% (max - stddev = 31.40%), std-dev of this is ~2%
Player 1 : Player 2 : Total     168 : 1 : 169        moving average 500:   33.6% (max - stddev = 31.60%), std-dev of this is ~2%
Player 1 : Player 2 : Total     169 : 1 : 170        moving average 500:   33.8% (max - stddev = 31.80%), std-dev of this is ~2%
Player 1 : Player 2 : Total     170 : 1 : 171        moving average 500:   34.0% (max - stddev = 32.00%), std-dev of this is ~2%
Player 1 : Player 2 : Total     171 : 1 : 172        moving average 500:   34.2% (max - stddev = 32.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     172 : 1 : 173        moving average 500:   34.4% (max - stddev = 32.40%), std-dev of this is ~2%
Player 1 : Player 2 : Total     173 : 1 : 174        moving average 500:   34.6% (max - stddev = 32.60%), std-dev of this is ~2%
Player 1 : Player 2 : Total     174 : 1 : 175        moving average 500:   34.8% (max - stddev = 32.80%), std-dev of this is ~2%
Player 1 : Player 2 : Total     175 : 1 : 176        moving average 500:   35.0% (max - stddev = 33.00%), std-dev of this is ~2%
Player 1 : Player 2 : Total     176 : 1 : 177        moving average 500:   35.2% (max - stddev = 33.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     177 : 1 : 178        moving average 500:   35.4% (max - stddev = 33.40%), std-dev of this is ~2%
Player 1 : Player 2 : Total     178 : 1 : 179        moving average 500:   35.6% (max - stddev = 33.60%), std-dev of this is ~2%
Player 1 : Player 2 : Total     179 : 1 : 180        moving average 500:   35.8% (max - stddev = 33.80%), std-dev of this is ~2%
Player 1 : Player 2 : Total     180 : 1 : 181        moving average 500:   36.0% (max - stddev = 34.00%), std-dev of this is ~2%
Player 1 : Player 2 : Total     181 : 1 : 182        moving average 500:   36.2% (max - stddev = 34.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     182 : 1 : 183        moving average 500:   36.4% (max - stddev = 34.40%), std-dev of this is ~2%
Player 1 : Player 2 : Total     183 : 1 : 184        moving average 500:   36.6% (max - stddev = 34.60%), std-dev of this is ~2%
Player 1 : Player 2 : Total     184 : 1 : 185        moving average 500:   36.8% (max - stddev = 34.80%), std-dev of this is ~2%
Player 1 : Player 2 : Total     185 : 1 : 186        moving average 500:   37.0% (max - stddev = 35.00%), std-dev of this is ~2%
Player 1 : Player 2 : Total     186 : 1 : 187        moving average 500:   37.2% (max - stddev = 35.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     187 : 1 : 188        moving average 500:   37.4% (max - stddev = 35.40%), std-dev of this is ~2%
Player 1 : Player 2 : Total     188 : 1 : 189        moving average 500:   37.6% (max - stddev = 35.60%), std-dev of this is ~2%
Player 1 : Player 2 : Total     189 : 1 : 190        moving average 500:   37.8% (max - stddev = 35.80%), std-dev of this is ~2%
Player 1 : Player 2 : Total     190 : 1 : 191        moving average 500:   38.0% (max - stddev = 36.00%), std-dev of this is ~2%
Player 1 : Player 2 : Total     191 : 1 : 192        moving average 500:   38.2% (max - stddev = 36.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     192 : 1 : 193        moving average 500:   38.4% (max - stddev = 36.40%), std-dev of this is ~2%
Player 1 : Player 2 : Total     193 : 1 : 194        moving average 500:   38.6% (max - stddev = 36.60%), std-dev of this is ~2%
Player 1 : Player 2 : Total     194 : 1 : 195        moving average 500:   38.8% (max - stddev = 36.80%), std-dev of this is ~2%
Player 1 : Player 2 : Total     195 : 1 : 196        moving average 500:   39.0% (max - stddev = 37.00%), std-dev of this is ~2%
Player 1 : Player 2 : Total     196 : 1 : 197        moving average 500:   39.2% (max - stddev = 37.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     197 : 1 : 198        moving average 500:   39.4% (max - stddev = 37.40%), std-dev of this is ~2%
Player 1 : Player 2 : Total     198 : 1 : 199        moving average 500:   39.6% (max - stddev = 37.60%), std-dev of this is ~2%
Player 1 : Player 2 : Total     199 : 1 : 200        moving average 500:   39.8% (max - stddev = 37.80%), std-dev of this is ~2%
Player 1 : Player 2 : Total     200 : 1 : 201        moving average 500:   40.0% (max - stddev = 38.00%), std-dev of this is ~2%
Player 1 : Player 2 : Total     201 : 1 : 202        moving average 500:   40.2% (max - stddev = 38.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     202 : 1 : 203        moving average 500:   40.4% (max - stddev = 38.40%), std-dev of this is ~2%
Player 1 : Player 2 : Total     203 : 1 : 204        moving average 500:   40.6% (max - stddev = 38.60%), std-dev of this is ~2%
Player 1 : Player 2 : Total     204 : 1 : 205        moving average 500:   40.8% (max - stddev = 38.80%), std-dev of this is ~2%
Player 1 : Player 2 : Total     205 : 1 : 206        moving average 500:   41.0% (max - stddev = 39.00%), std-dev of this is ~2%
Player 1 : Player 2 : Total     206 : 1 : 207        moving average 500:   41.2% (max - stddev = 39.20%), std-dev of this is ~2%
