welcome to bug territory, enjoy your stay new
Player 1 : Player 2 : Total     62 : 26 : 88        moving average 500:   12.4% (max - stddev = 10.40%), std-dev of this is ~2%
Player 1 : Player 2 : Total     63 : 26 : 89        moving average 500:   12.6% (max - stddev = 10.60%), std-dev of this is ~2%
Player 1 : Player 2 : Total     63 : 27 : 90        moving average 500:   12.6% (max - stddev = 10.60%), std-dev of this is ~2%
Player 1 : Player 2 : Total     64 : 27 : 91        moving average 500:   12.8% (max - stddev = 10.80%), std-dev of this is ~2%
Player 1 : Player 2 : Total     65 : 27 : 92        moving average 500:   13.0% (max - stddev = 11.00%), std-dev of this is ~2%
Player 1 : Player 2 : Total     66 : 27 : 93        moving average 500:   13.2% (max - stddev = 11.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     66 : 28 : 94        moving average 500:   13.2% (max - stddev = 11.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     67 : 28 : 95        moving average 500:   13.4% (max - stddev = 11.40%), std-dev of this is ~2%
Player 1 : Player 2 : Total     68 : 28 : 96        moving average 500:   13.6% (max - stddev = 11.60%), std-dev of this is ~2%
Player 1 : Player 2 : Total     69 : 28 : 97        moving average 500:   13.8% (max - stddev = 11.80%), std-dev of this is ~2%
Player 1 : Player 2 : Total     70 : 28 : 98        moving average 500:   14.0% (max - stddev = 12.00%), std-dev of this is ~2%
Player 1 : Player 2 : Total     71 : 28 : 99        moving average 500:   14.2% (max - stddev = 12.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     72 : 28 : 100        moving average 500:   14.4% (max - stddev = 12.40%), std-dev of this is ~2%
Player 1 : Player 2 : Total     73 : 28 : 101        moving average 500:   14.6% (max - stddev = 12.60%), std-dev of this is ~2%
Player 1 : Player 2 : Total     74 : 28 : 102        moving average 500:   14.8% (max - stddev = 12.80%), std-dev of this is ~2%
Player 1 : Player 2 : Total     75 : 28 : 103        moving average 500:   15.0% (max - stddev = 13.00%), std-dev of this is ~2%
Player 1 : Player 2 : Total     76 : 28 : 104        moving average 500:   15.2% (max - stddev = 13.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     77 : 28 : 105        moving average 500:   15.4% (max - stddev = 13.40%), std-dev of this is ~2%
Player 1 : Player 2 : Total     78 : 28 : 106        moving average 500:   15.6% (max - stddev = 13.60%), std-dev of this is ~2%
Player 1 : Player 2 : Total     79 : 28 : 107        moving average 500:   15.8% (max - stddev = 13.80%), std-dev of this is ~2%
Player 1 : Player 2 : Total     80 : 28 : 108        moving average 500:   16.0% (max - stddev = 14.00%), std-dev of this is ~2%
Player 1 : Player 2 : Total     81 : 28 : 109        moving average 500:   16.2% (max - stddev = 14.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     81 : 29 : 110        moving average 500:   16.2% (max - stddev = 14.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     82 : 29 : 111        moving average 500:   16.4% (max - stddev = 14.40%), std-dev of this is ~2%
Player 1 : Player 2 : Total     83 : 29 : 112        moving average 500:   16.6% (max - stddev = 14.60%), std-dev of this is ~2%
Player 1 : Player 2 : Total     84 : 29 : 113        moving average 500:   16.8% (max - stddev = 14.80%), std-dev of this is ~2%
Player 1 : Player 2 : Total     85 : 29 : 114        moving average 500:   17.0% (max - stddev = 15.00%), std-dev of this is ~2%
Player 1 : Player 2 : Total     86 : 29 : 115        moving average 500:   17.2% (max - stddev = 15.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     87 : 29 : 116        moving average 500:   17.4% (max - stddev = 15.40%), std-dev of this is ~2%
Player 1 : Player 2 : Total     88 : 29 : 117        moving average 500:   17.6% (max - stddev = 15.60%), std-dev of this is ~2%
Player 1 : Player 2 : Total     88 : 30 : 118        moving average 500:   17.6% (max - stddev = 15.60%), std-dev of this is ~2%
Player 1 : Player 2 : Total     89 : 30 : 119        moving average 500:   17.8% (max - stddev = 15.80%), std-dev of this is ~2%
Player 1 : Player 2 : Total     89 : 31 : 120        moving average 500:   17.8% (max - stddev = 15.80%), std-dev of this is ~2%
Player 1 : Player 2 : Total     90 : 31 : 121        moving average 500:   18.0% (max - stddev = 16.00%), std-dev of this is ~2%
Player 1 : Player 2 : Total     91 : 31 : 122        moving average 500:   18.2% (max - stddev = 16.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     91 : 32 : 123        moving average 500:   18.2% (max - stddev = 16.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     92 : 32 : 124        moving average 500:   18.4% (max - stddev = 16.40%), std-dev of this is ~2%
Player 1 : Player 2 : Total     93 : 32 : 125        moving average 500:   18.6% (max - stddev = 16.60%), std-dev of this is ~2%
Player 1 : Player 2 : Total     94 : 32 : 126        moving average 500:   18.8% (max - stddev = 16.80%), std-dev of this is ~2%
Player 1 : Player 2 : Total     94 : 33 : 127        moving average 500:   18.8% (max - stddev = 16.80%), std-dev of this is ~2%
Player 1 : Player 2 : Total     95 : 33 : 128        moving average 500:   19.0% (max - stddev = 17.00%), std-dev of this is ~2%
Player 1 : Player 2 : Total     96 : 33 : 129        moving average 500:   19.2% (max - stddev = 17.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     97 : 33 : 130        moving average 500:   19.4% (max - stddev = 17.40%), std-dev of this is ~2%
Player 1 : Player 2 : Total     97 : 34 : 131        moving average 500:   19.4% (max - stddev = 17.40%), std-dev of this is ~2%
Player 1 : Player 2 : Total     98 : 34 : 132        moving average 500:   19.6% (max - stddev = 17.60%), std-dev of this is ~2%
Player 1 : Player 2 : Total     99 : 34 : 133        moving average 500:   19.8% (max - stddev = 17.80%), std-dev of this is ~2%
Player 1 : Player 2 : Total     99 : 35 : 134        moving average 500:   19.8% (max - stddev = 17.80%), std-dev of this is ~2%
Player 1 : Player 2 : Total     100 : 35 : 135        moving average 500:   20.0% (max - stddev = 18.00%), std-dev of this is ~2%
Player 1 : Player 2 : Total     100 : 36 : 136        moving average 500:   20.0% (max - stddev = 18.00%), std-dev of this is ~2%
Player 1 : Player 2 : Total     101 : 36 : 137        moving average 500:   20.2% (max - stddev = 18.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     102 : 36 : 138        moving average 500:   20.4% (max - stddev = 18.40%), std-dev of this is ~2%
Player 1 : Player 2 : Total     103 : 36 : 139        moving average 500:   20.6% (max - stddev = 18.60%), std-dev of this is ~2%
Player 1 : Player 2 : Total     104 : 36 : 140        moving average 500:   20.8% (max - stddev = 18.80%), std-dev of this is ~2%
Player 1 : Player 2 : Total     105 : 36 : 141        moving average 500:   21.0% (max - stddev = 19.00%), std-dev of this is ~2%
Player 1 : Player 2 : Total     106 : 36 : 142        moving average 500:   21.2% (max - stddev = 19.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     107 : 36 : 143        moving average 500:   21.4% (max - stddev = 19.40%), std-dev of this is ~2%
